AV-6, 205
2013-09-20T07:25:30, 29.0147394408, -85.0748274755
2013-09-20T07:31:30, 29.3227647431, -84.5479478315
2013-09-20T07:37:30, 29.6275804471, -84.0198633727
2013-09-20T07:43:30, 29.7519387212, -83.3998590242
2013-09-20T07:49:30, 29.8531652894, -82.7652990818
2013-09-20T07:55:30, 29.9581634626, -82.1329516266
2013-09-20T08:01:30, 30.0683593377, -81.5025886707
2013-09-20T08:07:30, 30.3213553503, -81.1311116070
2013-09-20T08:13:30, 30.8365363721, -81.1846983712
2013-09-20T08:19:30, 31.3659916911, -80.9794481099
2013-09-20T08:25:30, 31.8769755587, -80.7285992056
2013-09-20T08:31:30, 32.3036372289, -80.3286205698
2013-09-20T08:37:30, 32.6230169926, -79.7892339528
2013-09-20T08:43:30, 32.9931229446, -79.2898654751
2013-09-20T08:49:30, 33.3078272827, -78.7365136016
2013-09-20T08:55:30, 33.6199504975, -78.1759653613
2013-09-20T09:01:30, 33.9367085695, -77.6093642972
2013-09-20T09:07:30, 34.2412861437, -77.0394978113
2013-09-20T09:13:30, 34.5437140111, -76.4683070686
2013-09-20T09:19:30, 34.8760576453, -75.9204569925
2013-09-20T09:25:30, 35.2444375120, -75.4143874347
2013-09-20T09:31:30, 35.7573563419, -75.2509151772
2013-09-20T09:37:30, 36.3194234669, -75.3631963860
2013-09-20T09:43:30, 36.8842282891, -75.5070762802
2013-09-20T09:49:30, 37.4406691454, -75.5333403870
2013-09-20T09:55:30, 37.9232806899, -75.1628058683
2013-09-20T10:01:30, 37.5983181596, -75.1583062951
2013-09-20T10:07:30, 37.8692262992, -75.2193237003
2013-09-20T10:13:30, 37.7364285383, -75.0333823264
2013-09-20T10:19:30, 37.7311514597, -75.3412404936
2013-09-20T10:25:30, 37.8910401184, -74.9362941552
2013-09-20T10:31:30, 37.5490967743, -75.2957951557
2013-09-20T10:37:30, 37.7303898800, -75.3165399469
2013-09-20T10:43:30, 37.8765870351, -74.9960188195
AV-1, 52
2013-09-17T13:06:06, 37.9275950231, -75.4714955203
2013-09-17T13:12:06, 37.9275935981, -75.4715045728
2013-09-17T13:18:06, 37.9275945202, -75.4715090152
2013-09-17T13:24:06, 37.9276003875, -75.4715103563
2013-09-17T13:30:06, 37.9275982082, -75.4715096857
2013-09-17T13:36:06, 37.9275992978, -75.4715054110
2013-09-17T13:42:06, 37.9275935981, -75.4715198278
2013-09-17T13:48:06, 37.9275869764, -75.4715186544
2013-09-17T13:54:06, 37.9275868926, -75.4715164751
2013-09-17T14:00:06, 37.9281195626, -75.4701099917
2013-09-17T14:06:06, 37.7962907497, -75.3308314271
2013-09-17T14:12:06, 37.5488891546, -75.2180395089
2013-09-17T14:18:06, 37.7239692584, -75.3843234759
2013-09-17T14:24:06, 37.9111141060, -74.9853562843
2013-09-17T14:30:06, 37.5489942636, -75.2731084451
2013-09-17T14:36:06, 37.7102133818, -75.1701366808
2013-09-17T14:42:06, 37.6631418709, -74.4743039366
2013-09-17T14:48:06, 37.6172428206, -73.7612583674
2013-09-17T14:54:06, 37.5682200026, -73.0649863277
2013-09-17T15:00:06, 37.4382956419, -72.3705236055
2013-09-17T15:06:06, 37.2698579449, -71.6612181254
2013-09-17T15:12:06, 37.1627124120, -70.9395329934
